jailID,charge,courtFile,bondOrFine,dispositionDate,dispositionOfCharge
3976H-004,CRT STATUS ONLY-NOT A CHARGE,15FA879,$.00,2016/07/07,*NOT A CHARGE*
3976H-004,BATTERY,16CM967,$.00,2017/04/10,DISMISSED
3976H-004,DISORDERLY CONDUCT,,$.00,2016/07/26,COMBINED WITH CHARGE 4
3976H-004,MANUF/DELIVER COCAINE (>1-5G),14CF52,$.00,,
3976H-004,CRT STATUS ONLY-NOT A CHARGE,,$.00,2017/04/24,*NOT A CHARGE*
9826D-011,REVOCATION ORD & WARR,13CF804,$.00,2017/04/25,TIME SERVED
9826D-011,RESISTING OR OBSTRUCTING AN OFFICER,15CM907,$250.00,,
9826D-011,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,2017/01/10,TIME SERVED
9826D-011,POSSESSION OF THC,15CF99,$.00,,
3970F-014,P&P HOLD - FELONY,95CF317,$.00,2009/12/21,P.O.HOLD CANCELLED
1634N-001,CAPIAS,,$.00,2017/03/13,CAPIAS VACATED
1634N-001,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
1634N-001,OPERATING WHILE SUSPENDED,16TR8307,$.00,2017/03/24,TIME SERVED
1634N-001,OPERATE M/V WITHOUT LIABILITY INSURANCE,16TR8308,$.00,2017/03/24,TIME SERVED
1634N-001,FAIL/DISPLAY VEHICLE LICENSE PLATES,16TR8309,$.00,2017/03/24,TIME SERVED
91981-011,EXTENDED SUPERVISION SANCTION,13CF124,$.00,2016/12/05,TIME SERVED
91981-011,BATTERY BY PRISONERS,16CF1233,$5000.00,,
91981-011,VIOLATE STATE/COUNTY INSTITUTION LAWS,,$.00,2016/11/01,NO ISSUE
91981-011,MANUF/DELIVER COCAINE (<=1G),13CF124,$.00,,
3425J-012,P&P HOLD - FELONY,09CF141,$.00,,
3425J-012,STRANGULATION AND SUFFOCATION,16CF1378,$.00,,
3425J-012,DISORDERLY CONDUCT,,$.00,2016/12/16,COMBINED WITH CHARGE 2
3425J-012,OPERATING WHILE SUSPENDED,16TR10971,$.00,2016/12/21,TIME SERVED
3425J-012,OPERATE UNREGISTERED VEHICLE,16TR10972,$.00,2016/12/21,TIME SERVED
9032K-002,EXTENDED SUPERVISION SANCTION,16CM2473,$.00,,
6199I-013,P&P HOLD - MISD,15CF1879,$.00,,
2827N-000,FALSE IMPRISONMENT,16CF1179,$3500.00,,
2827N-000,INTIMIDATE VICTIM/USE OR ATTEMPT FORCE,16CF1179,$.00,2016/10/21,COMBINED WITH CHARGE 1
2827N-000,ENDANGER SAFETY/USE/DANGEROUS WEAPON,,$.00,2016/10/21,NO ISSUE
2827N-000,BATTERY,16CF1179,$.00,2016/10/21,COMBINED WITH CHARGE 1
2827N-000,CRIMINAL DAMAGE TO PROPERTY,16CF1179,$.00,2016/10/21,COMBINED WITH CHARGE 1
2827N-000,CRIMINAL TRESPASS TO DWELLING,16CF1179,$.00,2016/10/21,COMBINED WITH CHARGE 1
2827N-000,DISORDERLY CONDUCT,16CF1179,$.00,2016/10/21,COMBINED WITH CHARGE 1
9933J-018,P&P HOLD - MISD,15CM532,$.00,,
9933J-018,OPERATE W/O VALID LICENSE,,$.00,2017/04/22,NO ISSUE
9933J-018,DISPLAY UNAUTH. VEH. REGISTRATION PLATE,,$.00,2017/04/22,NO POST/RELEASED W/COURT
9933J-018,KEEP OPEN INTOXICANTS IN MV,,$.00,2017/04/22,NO POST/RELEASED W/COURT
9933J-018,OPERATE W/O VALID LICENSE,,$.00,2017/04/24,NO POST/RELEASED W/COURT
4642M-004,BAIL JUMPING-FELONY,17CF311,$10000.00,,
4642M-004,CRT STATUS ONLY-NOT A CHARGE,17CF256,$.00,2017/04/13,*NOT A CHARGE*
774M-009,P&P HOLD - MISD,16CT661,$.00,,
774M-009,CURFEW VIOLATION,,$.00,2017/04/08,NO POST/RELEASED W/COURT
6647H-014,P&P HOLD - FELONY,07CF1175,$.00,,
3984F-034,P&P HOLD - FELONY,08CF1091,$.00,,
3984F-034,BATTERY,17CM176,$1500.00,,
34721-000,VEHICLE OPERATOR FLEE/ELUDE OFFICER,04CF1253,$5000.00,2004/12/15,BOND POSTED
34721-000,DRIVE OR OPERATE VEHICLE W/O CONSENT,,$.00,2004/11/15,COMBINED WITH CHARGE 1
34721-000,OPERATING WHILE INTOXICATED,,$.00,2004/11/15,AFTER 12-HOUR HOLD
34721-000,RECKLESS DRIVING-ENDANGER SAFETY,,$.00,2004/11/14,NO POST/RELEASED W/COURT
34721-000,OPERATE W/O VALID LICENSE,,$.00,2004/11/14,NO POST/RELEASED W/COURT
34721-000,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2004/11/15,COMBINED WITH CHARGE 1
34721-000,UNDERAGE DRINKING-POSSESS/CONSUME,,$.00,2004/11/15,NO ISSUE
4640F-031,OPERATING WHILE INTOXICATED,16CF1238,$.00,,
2180N-001,CHILD ABUSE-HIGH PROBABILITY/GREAT HARM,17CF227,$10000.00,,
2180N-001,STRANGULATION AND SUFFOCATION,,$.00,2017/03/06,COMBINED WITH CHARGE 1
3643L-006,P&P HOLD - FELONY,16CF670,$.00,,
3643L-006,BATTERY,17CM411,$1000.00,,
3643L-006,DISORDERLY CONDUCT,17CM411,$.00,2017/04/04,COMBINED WITH CHARGE 2
3643L-006,CRIMINAL DAMAGE TO PROPERTY,17CM411,$.00,2017/04/04,COMBINED WITH CHARGE 2
6150F-008,P&P HOLD - MISD,16CF390,$.00,2017/03/28,P.O.HOLD CANCELLED
6150F-008,BATTERY,16CF390,$.00,,
6791L-006,P&P HOLD - FELONY,13CF765,$.00,2017/04/03,P.O.HOLD CANCELLED
6791L-006,POSSESS DRUG PARAPHERNALIA,17CM234,$.00,2017/04/07,DISMISSED
6791L-006,OPERATE M/V WITHOUT LIABILITY INSURANCE,17TR2511,$.00,2017/02/20,PER COURT ORDER
6791L-006,REVOCATION ORD & WARR,12CM646,$.00,,
6791L-006,REVOCATION ORD & WARR,13CF765,$.00,,
6791L-006,POSSESS DRUG PARAPHERNALIA,,$.00,2017/04/07,TIME TO PAY
1095N-002,P&P HOLD - MISD,15CF2764,$.00,,
1095N-002,BAIL JUMPING-FELONY,16CF417,$1500.00,,
1095N-002,BAIL JUMPING-MISDEMEANOR,16CF417,$.00,2017/04/03,WARRANT ADDITIONAL CHARGE
1095N-002,POSSESSION OF THC,16CF417,$.00,2017/04/03,WARRANT ADDITIONAL CHARGE
1095N-002,POSSESS DRUG PARAPHERNALIA,16CF417,$.00,2017/04/03,WARRANT ADDITIONAL CHARGE
1095N-002,BAIL JUMPING-FELONY,17CF337,$1500.00,,
1095N-002,MISAPPROPRIATE ID INFO - OBTAIN MONEY,17CF348,$15000.00,,
9314G-023,P&P HOLD - FELONY,13CF571,$.00,,
6257L-004,SUBSTANTIAL BATTERY-INTEND BODILY HARM,17CF158,$.00,,
7508M-004,P&P HOLD - FELONY,15CF1031,$.00,,
1972M-004,P&P HOLD - FELONY,16CF802,$.00,,
1972M-004,POSSESSION OF THC,17CF424,$.00,,
1972M-004,POSSESS W/INTENT-SCHEDULE IV DRUGS,,$.00,2017/04/26,COMBINED WITH CHARGE 2
1L-007,BURGLARY-BUILDING OR DWELLING,17CF414,$5000.00,,
1L-007,THEFT-MOVABLE PROPERTY,17CF414,$.00,2017/04/26,COMBINED WITH CHARGE 1
1L-007,THEFT-MOVABLE PROPERTY,17CF414,$.00,2017/04/26,COMBINED WITH CHARGE 1
1L-007,TAKE AND DRIVE VEHICLE W/O CONSENT,17CF428,$2000.00,,
9.627E-01,VEHICLE OPERATOR FLEE/ELUDE OFFICER,17CF387,$5000.00,,
9.627E-01,OPERATING WHILE INTOXICATED,,$.00,2017/04/17,COMBINED WITH CHARGE 1
9.627E-01,UNREASONABLE AND IMPRUDENT SPEED,,$.00,2017/04/14,NO POST/RELEASED W/COURT
9.627E-01,OPEN INTOXICANT (SIDEWALK STREET OR MV),,$.00,2017/04/14,NO POST/RELEASED W/COURT
9.627E-01,CRT STATUS ONLY-NOT A CHARGE,17TR4818,$.00,2017/05/01,*NOT A CHARGE*
2267F-009,P&P HOLD - FELONY,16CF196,$.00,,
26331-011,EXTENDED SUPERVISION SANCTION,04CF940,$.00,,
6315L-007,P&P HOLD - MISD,16CM538,$.00,,
4659J-001,WARRANT OTHER AGENCY,15CM507,$.00,,
4659J-001,OPERATING WHILE INTOXICATED,17CT175,$750.00,,
4659J-001,OPERATING WHILE INTOXICATED-BAC 1%+,,$.00,2017/03/06,COMBINED WITH CHARGE 2
4659J-001,WARRANT OTHER AGENCY,,$.00,2017/03/08,PER COURT ORDER
10931-007,NEGLECTING A CHILD(BODILY HARM),17CF442,$1500.00,,
9112D-027,POSSESS/CHILD PORNOGRAPHY,16CF1307,$100000.00,,
9112D-027,CRT STATUS ONLY-NOT A CHARGE,16CF1257,$.00,2016/11/18,*NOT A CHARGE*
82541-008,P&P HOLD - FELONY,13CF1354,$.00,,
489K-011,2ND DEGREE RECKLESS INJURY,15CF959,$10000.00,,
489K-011,OPERATE W/O VALID LICENSE,15CF959,$.00,2017/04/21,COMBINED WITH CHARGE 1
16271-030,OPERATING WHILE REVOKED,16CT375,$.00,,
16271-030,OPERATING WHILE REVOKED,17CM408,$.00,,
16271-030,EXTENDED SUPERVISION SANCTION,15CF913,$.00,,
16271-030,BAIL JUMPING-MISDEMEANOR,,$.00,2017/04/03,COMBINED WITH CHARGE 2
9511J-002,CONTEMPT OF COURT - DISOBEY ORDER,10FA828,$.00,,
4059N-000,STRANGULATION AND SUFFOCATION,17CF231,$25000.00,,
4059N-000,FALSE IMPRISONMENT,,$.00,2017/03/07,COMBINED WITH CHARGE 1
4059N-000,AGGRAVATED BATTERY-INTEND BODILY HARM,,$.00,2017/03/07,COMBINED WITH CHARGE 1
4059N-000,DISORDERLY CONDUCT,,$.00,2017/03/07,COMBINED WITH CHARGE 1
79971-003,ARMED ROBBERY WITH THREAT OF FORCE,09CF775,$10000.00,,
79971-003,ARMED ROBBERY WITH THREAT OF FORCE,09CF778,$10000.00,,
79971-003,DISORDERLY CONDUCT,06CM281,$.00,2016/06/29,TIME SERVED
79971-003,WARRANT OTHER AGENCY,,$.00,,
79971-003,WARRANT OTHER AGENCY,09CF1010,$.00,,
7892K-014,DISORDERLY CONDUCT,16CM921,$.00,,
7892K-014,DISORDERLY CONDUCT,17CF154,$.00,2017/04/24,PLACED ON PROBATION
21071-014,ROBBERY OF FINANCIAL INSTUTION,16CF1090,$100000.00,,
21071-014,BAIL JUMPING-FELONY,16CF1090,$.00,2017/01/10,WARRANT ADDITIONAL CHARGE
21071-014,DRIVE OR OPERATE VEHICLE W/O CONSENT,15CF1163,$5000.00,,
21071-014,THEFT-WRITTEN LEASE,15CF1163,$.00,2017/01/10,WARRANT ADDITIONAL CHARGE
21071-014,POSSESSION OF NARCOTIC DRUGS,16CF984,$5000.00,,
21071-014,BAIL JUMPING-FELONY,16CF984,$.00,2017/01/10,WARRANT ADDITIONAL CHARGE
21071-014,POSSESSION OF COCAINE/COCA,16CF984,$.00,2017/01/10,WARRANT ADDITIONAL CHARGE
122L-003,POSSESSION OF THC,16CF728,$.00,,
122L-003,WARRANT OTHER AGENCY,N1393396,$543.00,,
122L-003,CRT STATUS ONLY-NOT A CHARGE,17CF26,$.00,2017/03/27,PLACED ON PROBATION
427H-022,MANUE/DELIVER COCAINE (>1-5G),16CF99,$.00,,
44601-010,OPERATING WHILE INTOXICATED,16CT338,$.00,,
3337N-000,FEDERAL AGENCY HOLD,,$.00,,
62131-018,P&P HOLD - FELONY,16CF745,$.00,,
62131-018,POSSESS W/INTENT-THC (<=200GRAMS),17CF407,$1000.00,,
9681J-012,POSSESS FIREARM BY FELON,16CF801,$.00,,
9681J-012,RECEIVING STOLEN PROPERTY (>$5000-10000),,$.00,2016/07/18,NO ISSUE
9681J-012,CARRY CONCEALED WEAPON,16CF801,$.00,2016/07/18,COMBINED WITH CHARGE 1
9681J-012,OPERATING WHILE SUSPENDED,,$.00,2016/07/16,NO POST/RELEASED W/COURT
9681J-012,OPERATE M/V WITHOUT LIABILITY INSURANCE,,$.00,2016/07/16,NO POST/RELEASED W/COURT
9681J-012,NO TAIL LAMP/DEFECTIVE TAIL LAMP-NIGHT,,$.00,2016/07/16,NO POST/RELEASED W/COURT
98921-010,DISORDERLY CONDUCT,16CM231,$2000.00,,
98921-010,RESISTING OR OBSTRUCTING AN OFFICER,16CM231,$.00,2017/03/29,WARRANT ADDITIONAL CHARGE
98921-010,RESISTING OR OBSTRUCTING AN OFFICER,16CM231,$.00,2017/03/29,WARRANT ADDITIONAL CHARGE
98921-010,CRIMINAL DAMAGE TO PROPERTY,16CM231,$.00,2017/03/29,WARRANT ADDITIONAL CHARGE
98921-010,BAIL JUMPING-MISDEMEANOR,16CM588,$500.00,,
8009L-003,VEHICLE OPERATOR FLEE/ELUDE OFFICER,17CF6,$50000.00,,
8009L-003,1ST-DEGREE RECKLESSLY ENDANGERING SAFETY,17CF6,$.00,2017/01/03,COMBINED WITH CHARGE 1
8009L-003,CRIMINAL DAMAGE TO PROPERTY,17CF6,$.00,2017/01/03,COMBINED WITH CHARGE 1
8009L-003,DISORDERLY CONDUCT,17CF6,$.00,2017/01/03,COMBINED WITH CHARGE 1
8009L-003,OPERATE M/V WITHOUT LIABILITY INSURANCE,17TR232,$.00,2017/01/05,NO POST/RELEASED W/COURT
8009L-003,FAIL/STOP AT STOP SIGN,17TR46,$.00,2017/01/03,PER COURT ORDER
8009L-003,FAIL/STOP AT STOP SIGN,17TR47,$.00,2017/01/03,PER COURT ORDER
6549F-028,P&P HOLD - FELONY,12CF862,$.00,,
6549F-028,CONTEMPT OF COURT - DISOBEY ORDER,08FA129,$.00,,
6549F-028,POSSESSION OF THC,,$.00,2017/04/05,NO ISSUE
6549F-028,POSSESSION OF THC,17FO295,$.00,2017/04/05,TIME TO PAY
4062N-001,INTIMIDATE VICTIM/USE OR ATTEMPT FORCE,17CF269,$5000.00,,
4062N-001,FALSE IMPRISONMENT,,$.00,2017/03/17,COMBINED WITH CHARGE 1
4062N-001,BAIL JUMPING-MISDEMEANOR,,$.00,2017/03/17,COMBINED WITH CHARGE 1
4062N-001,DISORDERLY CONDUCT,,$.00,2017/03/17,COMBINED WITH CHARGE 1
1392N-000,FEDERAL AGENCY HOLD,,$.00,,
3142N-000,WARRANT OTHER AGENCY,,$.00,,
3142N-000,BATTERY BY PRISONERS,17CF13,$2000.00,,
3142N-000,VIOLATE STATE/COUNTY INSTITUTION LAWS,,$.00,2017/01/04,COMBINED WITH CHARGE 3
4161B-040,P&P HOLD - FELONY,11CF1115,$.00,,
3133N-001,BAIL JUMPING-FELONY,17CF344,$.00,2017/04/24,SIGNATURE BOND
3133N-001,ABANDONMENT OF A CHILD,16CF796,$1000.00,,
3133N-001,NEGLECTING A CHILD,16CF796,$.00,2017/04/23,WARRANT ADDITIONAL CHARGE
3133N-001,THEFT-MOVABLE PROPERTY,16CF796,$.00,2017/04/23,WARRANT ADDITIONAL CHARGE
2536N-001,ARMED ROBBERY WITH THREAT OF FORCE,16CF1194,$25000.00,,
2536N-001,CRIMINAL TRESPASS TO DWELLING,16CM1278,$250.00,,
2536N-001,CRIMINAL DAMAGE TO PROPERTY,16CM1278,$.00,2016/10/31,WARRANT ADDITIONAL CHARGE
2536N-001,OPER VEH w/o CONSENT ABAND 24HR W/O DAMG,16CM1278,$.00,2016/10/31,WARRANT ADDITIONAL CHARGE
7520M-001,BAIL JUMPING-FELONY,17CF271,$2500.00,,
7520M-001,BAIL JUMPING-MISDEMEANOR,,$.00,2017/03/17,COMBINED WITH CHARGE 1
7520M-001,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/03/17,COMBINED WITH CHARGE 1
7520M-001,OPERATOR VIOLATE RED TRAFFIC LIGHT,,$.00,2017/03/16,NO POST/RELEASED W/COURT
7520M-001,OPERATING WHILE REVOKED,,$.00,2017/03/16,NO POST/RELEASED W/COURT
6523M-002,WARRANT OTHER AGENCY,17-262,$162.70,,
8998M-003,P&P HOLD - MISD,17CF100,$.00,,
8998M-003,ARMED ROBBERY WITH THREAT OF FORCE,17CF295,$25000.00,,
8998M-003,BAIL JUMPING-FELONY,17CF295,$.00,2017/03/24,COMBINED WITH CHARGE 2
8998M-003,BATTERY,17CF295,$.00,2017/03/24,COMBINED WITH CHARGE 2
3498M-006,EXTENDED SUPERVISION SANCTION,15CF689,$.00,,
3498M-006,PETTY THEFT,17CM299,$.00,,
3498M-006,CRT STATUS ONLY-NOT A CHARGE,11FA780,$.00,2017/03/22,*NOT A CHARGE*
4.667E-03,CONTEMPT OF COURT - DISOBEY ORDER,05FA501,$.00,,
1107N-000,FEDERAL AGENCY HOLD,,$.00,,
4941G-008,CONTEMPT OF COURT - DISOBEY ORDER,03FA168A,$.00,,
8.551E-08,P&P HOLD - FELONY,07CF7,$.00,,
4095M-002,FEDERAL AGENCY HOLD,,$.00,,
3626N-000,FEDERAL AGENCY HOLD,,$.00,,
2486B-015,P&P HOLD - MISD,,$.00,,
4288N-000,FALSE IMPRISONMENT,17CF301,$3000.00,,
4288N-000,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/03/27,COMBINED WITH CHARGE 1
4288N-000,DISORDERLY CONDUCT,,$.00,2017/03/27,COMBINED WITH CHARGE 1
3124N-002,2ND-DEGREE INTENTIONAL HOMICIDE,17CF438,$250000.00,,
1936J-008,P&P HOLD - FELONY,08CF714,$.00,,
3071I-005,VEHICLE OPERATOR FLEE/ELUDE OFFICER,16CF809,$.00,,
7252K-002,EXTRADITION,17CF357,$50000.00,,
3438A-004,RESISTING OR OBSTRUCTING AN OFFICER,17CM417,$2500.00,,
3438A-004,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/04/04,COMBINED WITH CHARGE 1
3438A-004,CRIMINAL TRESPASS TO DWELLING,,$.00,2017/04/04,NO ISSUE
3438A-004,BAIL JUMPING-MISDEMEANOR,,$.00,2017/04/04,COMBINED WITH CHARGE 1
3438A-004,CRT STATUS ONLY-NOT A CHARGE,17CM396,$.00,2017/04/19,*NOT A CHARGE*
3438A-004,CRT STATUS ONLY-NOT A CHARGE,17CV404,$.00,2017/04/24,*NOT A CHARGE*
86261-000,THEFT-MOVABLE PROPERTY,06CM605,$.00,2006/04/05,SIGNATURE BOND
86261-000,PETTY THEFT,06CM605,$.00,2006/04/05,WARRANT ADDITIONAL CHARGE
9336H-008,VEHICLE OPERATOR FLEE/ELUDE OFFICER,17CF338,$1000.00,,
9336H-008,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
9336H-008,BAIL JUMPING-MISDEMEANOR,17CF339,$.00,2017/04/04,COMBINED WITH CHARGE 1
9336H-008,RESISTING OR OBSTRUCTING AN OFFICER,17CF339,$.00,2017/04/04,COMBINED WITH CHARGE 1
9336H-008,UNREASONABLE AND IMPRUDENT SPEED,,$.00,2017/04/03,NO POST/RELEASED W/COURT
9336H-008,OPERATING WHILE SUSPENDED,,$.00,2017/04/03,NO POST/RELEASED W/COURT
9336H-008,WARRANT OTHER AGENCY,15CT271,$.00,,
8409J-002,FEDERAL AGENCY HOLD,,$.00,,
8870M-000,FEDERAL AGENCY HOLD,,$.00,,
9.831E-15,P&P HOLD - MISD,16CF927,$.00,,
9.831E-15,CREDIT CARD-FRAUDULENT USE,17CM447,$750.00,,
9.831E-15,THEET-MOVABLE PROPERTY,,$.00,2017/04/11,COMBINED WITH CHARGE 2
3847N-000,1ST DEG SEX ASLT CHILD UNDER 12,17CF166,$25000.00,,
3914L-012,P&P HOLD - FELONY,14CF310,$.00,,
4600N-000,WARRANT OTHER AGENCY,,$.00,,
3469J-001,POSSESS W/INTENT-COCAINE (>40G),16CF692,$.00,,
3469J-001,POSSESS W/INTENT-THC (<=200GRAMS),,$.00,2016/06/20,COMBINED WITH CHARGE 1
3469J-001,POSSESSION OF COCAINE/COCA,,$.00,2016/06/20,COMBINED WITH CHARGE 1
3469J-001,POSSESSION OF THC,,$.00,2016/06/20,COMBINED WITH CHARGE 1
3469J-001,OPERATING WHILE SUSPENDED,16TR8066,$.00,2016/06/20,PER COURT ORDER
3469J-001,FAIL/ATTACH REAR REGIS. DECAL/TAG,16TR8067,$.00,2016/06/20,PER COURT ORDER
2859J-004,EXTENDED SUPERVISION SANCTION,09CF622,$.00,,
2859J-004,BURGLARY-BUILDING OR DWELLING,17CF364,$2500.00,,
2859J-004,PETTY THEFT,,$.00,2017/04/10,COMBINED WITH CHARGE 2
4430N-000,ARMED ROBBERY WITH THREAT OF FORCE,17CF380,$75000.00,,
4430N-000,2ND-DEGREE RECKLESSLY ENDANGERING SAFETY,,$.00,2017/04/10,COMBINED WITH CHARGE 1
4430N-000,CARRY CONCEALED WEAPON,,$.00,2017/04/10,COMBINED WITH CHARGE 1
4430N-000,DISORDERLY CONDUCT,,$.00,2017/04/10,COMBINED WITH CHARGE 1
4430N-000,INTENTIONALLY POINT FIREARM AT PERSON,,$.00,2017/04/10,COMBINED WITH CHARGE 1
4430N-000,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/04/10,COMBINED WITH CHARGE 1
4430N-000,POSSESS FIREARM BY FELON,,$.00,2017/04/10,COMBINED WITH CHARGE 1
2331F-020,P&PHOLD -FELONY -,99CF1328,$.00,2016/07/19,P.O.HOLD CANCELLED
2331F-020,ARMED ROBBERY WITH THREAT OF FORCE,,$.00,2016/03/18,NO ISSUE
2331F-020,ARMED ROBBERY WITH THREAT OF FORCE,16CF291,$25000.00,,
9948L-001,1ST-DEGREE INTENTIONAL HOMICIDE,16CF1223,$400000.00,,
9948L-001,CRIMINAL DAMAGE TO PROPERTY,17CM492,$100.00,,
9948L-001,VIOLATE STATE/COUNTY INSTITUTION LAWS,,$.00,2017/04/18,NO ISSUE
14931-016,P&P HOLD - FELONY,13CF353,$.00,,
14931-016,BATTERY,17CM190,$750.00,,
3269C-008,OPERATING WHILE INTOXICATED,16CM759,$.00,,
2993N-000,FEDERAL AGENCY HOLD,,$.00,,
53551-003,1ST DEG SEX CONTACT CHILD UNDER 13,17CF358,$10000.00,,
980D-054,EXTENDED SUPERVISION SANCTION,15CM1237,$.00,,
8898H-003,BAIL JUMPING-FELONY,17CF45,$.00,,
8898H-003,BAIL JUMPING-FELONY,,$.00,2017/01/13,NO ISSUE
8898H-003,ESCAPE-CRIMINAL ARREST,,$.00,2017/01/13,COMBINED WITH CHARGE 1
8898H-003,RESISTING OR OBSTRUCTING AN OFFICER,,$.00,2017/01/13,COMBINED WITH CHARGE 1
8898H-003,CRT STATUS ONLY-NOT A CHARGE,,$.00,2017/01/17,*NOT A CHARGE*
8898H-003,1ST RECKLESS HOMICIDE/DELIVER DRUGS,16CF1056,$.00,,
8562M-001,BURGLARY-BUILDING OR DWELLING,15CF558,$.00,,
8562M-001,BATTERY BY PRISONERS,17CF65,$750.00,,
8562M-001,DISORDERLY CONDUCT,,$.00,2017/01/20,COMBINED WITH CHARGE 2
8562M-001,VIOLATE STATE/COUNTY INSTITUTION LAWS,,$.00,2017/01/20,COMBINED WITH CHARGE 2
8562M-001,WARRANT OTHER AGENCY,,$.00,,
8562M-001,P&P HOLD - FELONY,15CF558,$.00,,
1705D-037,REVOCATION ORD & WARR,99CF51,$.00,,
3661N-000,MANUE/DELIVER THC (<=200 GRAMS),17CF93,$.00,2017/04/12,TIME SERVED
3661N-000,POSSESS DRUG PARAPHERNALIA,,$.00,2017/01/30,COMBINED WITH CHARGE 1
3661N-000,EXTRADITION,17CF147,$.00,,
3661N-000,POST/PUBLISH PRIVATE IMAGE W/OUT CONSENT,17CM410,$.00,,
3102K-007,P&P HOLD - FELONY,14CF1303,$.00,,
3102K-007,POSSESS W/INTENT-THC (<=200GRAMS),17CF286,$1000.00,,
3102K-007,POSSESSION OF CONTROLLED SUBSTANCE,,$.00,2017/03/22,COMBINED WITH CHARGE 2
3102K-007,POSSESSION OF THC,16CM1175,$.00,2017/04/08,TIME SERVED
6964H-006,CONTEMPT OF COURT - DISOBEY ORDER,,$.00,,
8675B-006,SEX OFFENDER-FAIL/UPDATE INFORMATION,16CF1394,$2000.00,,
8675B-006,SEX OFFENDER-FAIL/PROVIDE INFORMATION,16CF1394,$.00,2017/01/24,WARRANT ADDITIONAL CHARGE
7663D-025,OPERATING WHILE INTOXICATED,16CT474,$.00,,
2222H-007,P&P HOLD - FELONY,07CF28,$.00,,
86491-005,OPERATING WHILE INTOXICATED,16CT663,$.00,,
89251-000,INTIMIDATION OF VICTIM,,$.00,2006/05/10,NO ISSUE
89251-000,DISORDERLY CONDUCT - SEE 947.01(1),,$.00,2006/05/10,COMBINED WITH CHARGE 1
89251-000,CRIMINAL DAMAGE TO PROPERTY,,$.00,2006/05/10,COMBINED WITH CHARGE 1
89251-000,DISORDERLY CONDUCT - SEE 947.01(1),06FO471,$.00,2006/05/10,TIME TO PAY
